Country,Region,Expenditures ,Total Libraries,Total Librarians,Total Volumes,Total Users
Switzerland,Europe,"$651,921,548.00 ",2598,3114,107920093,2448003
Syria,Middle East,"$1,871,657.00 ",1760,24,1757205,751990
Taiwan,Asia,"$59,264,831.00 ",2787,3473,67488825,26444220
Tajikistan,Asia,,2019,76,7360174,4750
Tanzania,Africa,,221,1,2936750,3118545
Thailand,Asia,"$20,166,989.00 ",34751,500,13563180,3456000
Timor-Leste,Asia,,6,,5000,
Togo,Africa,"$230,151.00 ",52,31,548345,35796
Tonga,Oceania,,18,,66700,3288
Trinidad and Tobago,Latin America,,191,205,2054895,
Tunisia,Africa,"$482,300,000.00 ",947,274,7003300,100455
Turkey,Europe,"$279,827,681.00 ",19631,14693,159104336,13166534
Turkmenistan,Asia,,12,,9945930,
Turks and Caicos Islands,Latin America,,2,,13000,
Tuvalu,Oceania,,5,,23100,
Uganda,Africa,"$128,156.00 ",56,72,7788625,494307
Ukraine,Europe,"$2,326,858.00 ",39177,49219,414804767,18167200
United Arab Emirates,Middle East,"$5,502,452.00 ",1364,35,3453745,50000
United Kingdom,Europe,"$4,585,212,280.00 ",8447,21286,390287808,38498469
United States ,North America,"$21,759,280,324.00 ",101349,157685,2580863485,232107561
Uruguay,Latin America,"$1,009,649.00 ",373,223,4871091,301468
Uzbekistan,Asia,"$68,289.00 ",8971,1060,69912137,263000
Vanuatu,Oceania,,66,,22400,400
Venezuela,Latin America,"$10,713,583.00 ",924,222,12311871,1903801
Vietnam,Asia,,23962,674,21814650,
"Virgin Islands, British",Latin America,,7,,36000,8815
"Virgin Islands, U.S.",Latin America,,45,,495810,
Yemen,Middle East,,12,,360500,
Zambia,Africa,"$6,050.00 ",247,,4226783,950
Zimbabwe,Africa,"$107,316.00 ",174,12,2048707,208487
